ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Cannabis
1087,-0.95197,0.48246,1.16365,0.96082,-0.31685,-0.24649,0.47617,0.88309,-0.15487,1.81175,0.52975,0.40148,0
502,0.49788,0.48246,-0.05921,0.21128,-0.31685,0.04257,0.47617,-0.84732,-0.76096,1.13407,0.52975,0.7654,1
1307,-0.07854,-0.48246,-0.61113,-0.57009,-0.31685,-0.34799,0.63779,1.88511,-0.60633,0.25953,0.19268,0.7654,1
632,0.49788,0.48246,1.98437,0.96082,-0.31685,0.52135,-0.30033,1.65653,0.28783,1.13407,-1.37983,-2.07848,1
1173,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,-0.24649,0.16767,-0.97631,0.59042,0.93949,0.88113,0.40148,1
1217,-0.07854,-0.48246,-0.05921,-0.57009,-0.31685,1.23461,-0.57545,0.88309,-0.01729,-0.89891,0.88113,0.7654,1
1744,0.49788,0.48246,1.16365,0.96082,-0.31685,-0.58016,0.47617,-0.58331,-0.30172,0.93949,-0.21712,-0.84637,0
999,-0.07854,0.48246,1.98437,-0.57009,-0.31685,-1.05308,0.80523,-0.31776,-0.15487,0.93949,-0.21712,-0.52593,1
302,-0.07854,0.48246,-0.61113,-0.57009,-0.31685,-0.24649,-0.43999,-1.55521,0.13136,0.58489,-1.37983,-1.54858,0
1486,-0.07854,0.48246,1.98437,0.96082,-0.31685,-1.05308,1.45421,-0.84732,0.94156,0.58489,-0.71126,-0.52593,0
296,-0.95197,0.48246,-1.43719,0.96082,-0.31685,-0.34799,0.47617,-0.17779,-0.60633,-0.14277,-0.71126,-0.84637,0
905,-0.95197,-0.48246,-1.22751,-0.57009,-0.31685,-0.05188,0.96248,-0.01928,0.43852,-0.65253,0.88113,1.2247,1
1721,-0.07854,0.48246,0.45468,0.96082,-0.31685,0.41667,1.11406,-1.11902,2.46262,1.30612,-1.37983,-1.54858,0
1541,-0.95197,0.48246,-0.61113,-0.57009,-0.31685,0.62967,-0.15487,1.88511,1.45039,0.12331,0.88113,-0.84637,1
1509,-0.95197,0.48246,0.45468,0.96082,-0.31685,1.02119,-0.69509,0.88309,-1.772,-0.40581,0.19268,0.40148,1
1256,1.09449,0.48246,0.45468,0.96082,-0.31685,1.37297,-0.69509,0.29338,1.45039,0.12331,-1.37983,-0.52593,0
1871,-0.95197,0.48246,-0.61113,-0.57009,-0.31685,1.13281,-0.43999,0.29338,-0.76096,-0.14277,1.86203,-0.21575,1
1042,0.49788,0.48246,1.16365,0.96082,-0.31685,0.62967,-0.15487,-1.97495,-0.15487,-1.0145,0.88113,0.40148,1
1274,0.49788,-0.48246,1.98437,-0.28519,-0.31685,1.72012,-0.15487,0.88309,-1.07533,-0.40581,-0.21712,-0.21575,0
790,-0.95197,-0.48246,-0.61113,0.96082,-0.31685,-2.05048,0.16767,0.7233,0.13136,0.7583,0.19268,1.2247,1
263,1.09449,-0.48246,1.16365,0.96082,-0.50212,-0.92104,0.80523,-0.31776,0.94156,0.25953,-1.37983,-1.54858,0
1877,-0.95197,-0.48246,-1.43719,-0.57009,-0.31685,0.73545,-1.23177,0.58331,-0.60633,-0.40581,0.52975,0.40148,1
1454,-0.95197,0.48246,0.45468,0.96082,-0.31685,0.31287,0.16767,-1.55521,0.43852,1.13407,-1.37983,-1.18084,0
470,-0.07854,-0.48246,0.45468,0.96082,-0.31685,-1.1943,1.74091,1.43533,0.76096,-0.00665,0.88113,1.2247,1
661,-0.07854,0.48246,1.16365,0.96082,-1.10702,-1.32828,0.47617,-0.01928,1.11406,0.12331,-1.37983,-1.54858,0
1578,-0.07854,0.48246,1.16365,0.96082,-0.31685,-0.24649,0.80523,-0.58331,1.45039,0.93949,0.19268,-0.84637,0
58,-0.07854,0.48246,0.45468,0.96082,-0.31685,-0.58016,0.63779,-1.97495,0.28783,0.7583,-0.71126,-0.52593,0
1495,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,2.127,-0.94779,-0.45174,-0.30172,-1.64101,1.29221,0.07987,1
1068,0.49788,-0.48246,0.45468,0.24923,-0.31685,-0.58016,-0.69509,-2.39883,-0.30172,-0.27607,-2.55524,-1.18084,0
610,-0.07854,-0.48246,0.45468,0.96082,-0.31685,-1.69163,1.2861,1.24033,0.13136,1.13407,0.52975,1.92173,1
1145,1.09449,-0.48246,0.45468,0.96082,-0.31685,0.22393,-1.09207,-0.71727,-0.30172,-0.65253,0.19268,-0.84637,1
370,-0.07854,-0.48246,-0.05921,0.96082,-0.31685,-0.05188,-0.94779,-1.68062,0.13136,0.7583,-0.21712,-0.84637,1
94,2.59171,0.48246,-1.7379,0.96082,-0.31685,-0.14882,-0.80615,-0.97631,0.76096,0.41594,-1.37983,-1.54858,0
650,-0.07854,0.48246,0.45468,0.96082,-0.31685,-0.14882,0.80523,-1.27553,-0.01729,2.04506,0.19268,-1.18084,1
1048,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,1.23461,-1.23177,0.44585,-0.01729,0.25953,-1.37983,-1.54858,1
289,-0.07854,-0.48246,-0.61113,0.96082,-0.31685,0.62967,0.32197,-0.71727,-0.30172,-0.00665,-0.21712,-1.54858,0
349,1.09449,-0.48246,1.16365,0.96082,-0.31685,-0.92104,0.80523,-0.01928,-0.01729,0.41594,-1.37983,-1.54858,1
813,1.09449,0.48246,0.45468,-0.57009,-0.31685,1.23461,1.74091,0.88309,-1.92595,-1.64101,0.88113,1.2247,1
268,0.49788,-0.48246,-0.05921,0.96082,-1.10702,-0.92104,1.45421,-1.27553,-0.45321,-0.00665,-0.21712,0.07987,0
950,0.49788,-0.48246,-0.05921,-0.57009,-0.31685,1.60383,-1.7625,-0.01928,0.13136,-1.5184,0.88113,-0.52593,1
454,-0.07854,-0.48246,0.45468,0.96082,-0.31685,1.23461,-1.7625,-0.31776,0.13136,0.41594,-1.37983,-0.21575,1
414,-0.07854,0.48246,0.45468,0.96082,-0.31685,0.13606,1.11406,-0.97631,0.43852,-0.27607,-0.71126,-0.52593,1
1219,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,0.41667,0.63779,-0.31776,-0.91699,-0.00665,0.19268,0.7654,1
1606,-0.07854,0.48246,0.45468,0.96082,-0.50212,-0.24649,2.127,-2.21069,-0.91699,-0.14277,1.29221,-0.21575,0
1227,-0.95197,-0.48246,0.45468,-0.57009,-0.31685,0.62967,1.45421,0.58331,0.13136,0.93949,0.19268,1.92173,1
189,1.09449,0.48246,-1.7379,0.96082,-0.31685,0.41667,-1.37639,-2.09015,0.59042,-0.27607,-1.37983,-2.07848,0
1511,-0.07854,-0.48246,-0.61113,-0.57009,-0.31685,0.91093,-2.11437,-0.17779,-0.45321,-0.89891,-1.37983,-0.84637,0
138,1.09449,0.48246,0.45468,0.96082,-0.31685,-1.1943,1.58487,0.29338,0.76096,0.41594,-2.55524,-1.18084,0
521,-0.07854,-0.48246,1.16365,0.96082,-0.31685,-0.14882,0.32197,-1.27553,1.11406,1.81175,0.52975,1.2247,1
1588,0.49788,0.48246,-0.05921,0.96082,-0.31685,-0.34799,0.80523,-1.68062,-0.60633,0.41594,-0.21712,-0.21575,0
232,2.59171,0.48246,1.16365,0.96082,-0.31685,0.13606,-1.09207,-0.45174,-0.45321,0.25953,-0.21712,-1.54858,0
301,0.49788,0.48246,-0.05921,-0.57009,-0.31685,0.82562,-0.94779,-0.17779,0.43852,0.58489,-0.71126,-0.84637,0
345,-0.95197,0.48246,-2.43591,0.96082,-0.31685,0.22393,-0.15487,-0.01928,-0.15487,-0.40581,0.88113,-0.84637,1
243,-0.95197,0.48246,-0.61113,0.96082,-0.31685,1.49158,-1.50796,-3.27393,0.76096,-0.89891,-1.37983,-1.54858,0
1483,1.09449,0.48246,1.98437,0.96082,-0.31685,-0.92104,0.00332,0.14143,0.13136,0.7583,-0.21712,-0.21575,0
425,0.49788,0.48246,0.45468,0.96082,0.126,-1.05308,0.80523,-0.71727,1.2861,0.93949,-0.21712,-0.84637,0
1595,-0.07854,0.48246,0.45468,0.96082,-0.31685,-0.24649,1.11406,-0.45174,-0.15487,0.41594,-0.71126,-0.84637,0
1879,-0.95197,-0.48246,-0.61113,-0.57009,0.126,-0.05188,-1.7625,0.58331,-0.76096,-0.14277,1.29221,1.2247,1
732,-0.95197,-0.48246,-0.61113,0.96082,-0.31685,-0.79151,1.2861,-0.31776,-0.15487,-0.52745,0.19268,0.40148,1
1666,-0.07854,0.48246,0.45468,0.96082,-0.31685,-0.58016,0.47617,-0.71727,2.03972,0.93949,0.19268,-0.21575,0
1800,1.82213,-0.48246,1.16365,0.96082,-0.31685,-0.58016,1.74091,-1.97495,-1.07533,1.63088,0.88113,0.40148,0
313,1.09449,0.48246,1.16365,0.96082,-0.31685,-0.34799,0.00332,-0.45174,0.28783,0.12331,-1.37983,-0.52593,0
1086,-0.95197,0.48246,0.45468,0.96082,-0.31685,-0.05188,-0.15487,0.44585,0.28783,0.41594,-1.37983,-0.21575,1
233,-0.07854,0.48246,0.45468,0.96082,-0.31685,0.04257,1.2861,-0.01928,0.13136,0.7583,0.52975,0.7654,0
1655,1.82213,-0.48246,-1.7379,0.96082,-0.31685,0.31287,-0.30033,-0.71727,-1.6209,0.41594,-0.21712,-1.18084,0
616,-0.07854,0.48246,-2.43591,-0.57009,-0.31685,-0.24649,0.63779,-0.71727,-0.91699,0.25953,1.29221,-0.21575,1
1650,-0.07854,0.48246,0.45468,0.96082,-0.31685,-0.14882,-0.30033,-0.84732,-0.30172,1.46191,-0.71126,-0.21575,0
1383,-0.95197,-0.48246,-0.61113,-0.28519,-0.31685,-1.32828,-0.30033,0.88309,1.11406,-1.0145,-0.71126,-0.21575,1
